text,label
"The product arrived late, and the customer service was unhelpful.",0
"The app is fast, reliable, and easy to navigate.",4
"The food was decent, but the portions were small.",2
Amazing support team! They resolved my issue immediately.,4
The product feels sturdy and built to last.,4
The experience was underwhelming and not worth the money.,1
"The delivery was seamless, and the product exceeded expectations.",4
"The waitstaff were inattentive, and the food took forever to arrive.",1
"The product does what it says, but it’s nothing special.",2
The product was exactly as described and works perfectly.,4
I wouldn’t recommend this to anyone. Complete waste of money.,0
"The staff was attentive, and the food was absolutely delicious.",4
The app has great features but needs better documentation.,2
The product is lightweight and easy to carry. I love it!,4
"The delivery process was smooth, but the item was faulty.",1
Excellent customer service and high-quality products.,4
"The service was below average, and the ambiance was lacking.",1
"It’s a decent app, but there are better options available.",2
"The portions were generous, and the prices were reasonable.",3
"The product came with missing parts, which was very frustrating.",0
"The experience was average, but the staff were polite.",3
I’m very satisfied with the purchase. Everything works flawlessly.,4
The user interface is outdated and hard to navigate.,1
"The food tasted great, and the service was top-notch.",4
"The product looks good, but its performance is subpar.",2
The staff ignored my concerns and were very dismissive.,0
Highly recommend! The quality is unmatched at this price.,4
The app works well but has occasional bugs.,3
"The atmosphere was pleasant, and the service was prompt.",4
The product broke within a day of use. Very disappointing.,0
"The app’s performance is exceptional, and it’s very intuitive.",4
"The wait time was too long, and the staff were rude.",1
The design of the product is innovative and very practical.,4
"The food was fine, but it wasn’t worth the high price.",2
"The restaurant was clean, and the staff were very friendly.",4
The product did not meet expectations and feels cheaply made.,1
I’m amazed by the quality of this product. Fantastic purchase!,4
"The app’s layout is confusing, and it’s hard to find key features.",1
The customer service was exceptional and resolved my issue quickly.,4
"The portions were small, but the flavours were excellent.",3
The product is overpriced and lacks durability.,1
The app has an excellent design and works flawlessly.,4
"The product is functional, but the instructions were unclear.",2
"The food was burnt, and the service was incredibly slow.",0
The product exceeded all my expectations. A great buy!,4
"The app crashes often, making it almost unusable.",0
"The service was impeccable, and the staff were very professional.",4
"The packaging was poor, but the product itself is fantastic.",3
